	tissue	gene_id	gene_name	chr	start	end	num_var	TR_chr	TR_start	TR_end	TR_locus	eTR	lead_TR	lead_p_nominal	p_nominal	slope	slope_se	qval
1059	Brain_Spinal_cord_cervical_c-1	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	1.8923e-09	1.8923e-09	-5.0332e-01	7.7599e-02	3.8574e-04
1060	Esophagus_Mucosa	ENSG00000197888.2	UGT2B17	chr4	68537184	68568527	1	chr4	68596915	68597248	19224	True	True	6.5319e-07	6.5319e-07	2.2116e-01	4.3878e-02	3.8946e-04
1061	Muscle_Skeletal	ENSG00000124116.18	WFDC3	chr20	45747944	45791932	4	chr20	45738844	45739247	15244	True	True	2.3577e-07	2.3577e-07	1.9385e-01	3.7133e-02	3.9985e-04
1062	Cells_Cultured_fibroblasts	ENSG00000101457.12	DNTTIP1	chr20	45791937	45811427	4	chr20	45738844	45739247	15244	True	True	2.2783e-07	2.2783e-07	2.3354e-01	4.4474e-02	4.0286e-04
1063	Thyroid	ENSG00000259540.1	RP11-526I2.1	chr15	100559313	100559798	9	chr15	100554291	100558659	8773	True	True	1.4395e-07	1.4395e-07	2.2299e-01	4.1834e-02	4.1940e-04
1064	Artery_Aorta	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195694561	195694966	18362	True	True	1.2301e-07	1.2301e-07	2.6793e-01	4.9686e-02	4.2025e-04
1065	Small_Intestine_Terminal_Ileum	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	1.4143e-08	1.4143e-08	4.1913e-01	7.0257e-02	4.2450e-04
1066	Small_Intestine_Terminal_Ileum	ENSG00000196620.9	UGT2B15	chr4	68646630	68670628	3	chr4	68596915	68597248	19224	True	True	6.4875e-08	6.4875e-08	3.9680e-01	7.0194e-02	4.2450e-04
1067	Esophagus_Muscularis	ENSG00000178209.14	PLEC	chr8	143915147	143976734	8	chr8	143931258	143931483	27016	True	True	1.2741e-07	1.2741e-07	2.4223e-01	4.5139e-02	4.2581e-04
1068	Brain_Hippocampus	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	1.6421e-08	1.6421e-08	4.2927e-01	7.2081e-02	4.2649e-04
1069	Heart_Atrial_Appendage	ENSG00000143631.10	FLG	chr1	152302175	152325203	2	chr1	152213243	152221044	1143	True	True	3.2539e-07	3.2539e-07	-2.6353e-01	5.0631e-02	4.2799e-04
1070	Heart_Atrial_Appendage	ENSG00000184967.6	NOC4L	chr12	132144448	132152441	12	chr12	132148889	132150763	6237	True	True	5.3943e-08	5.3943e-08	-2.8289e-01	5.0907e-02	4.2799e-04
1071	Artery_Coronary	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	774459	774835	20385	True	True	1.0077e-08	1.0077e-08	3.8950e-01	6.5126e-02	4.2843e-04
1072	Artery_Coronary	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	1.8246e-08	1.8246e-08	-3.7540e-01	6.4112e-02	4.2843e-04
1073	Muscle_Skeletal	ENSG00000278869.1	CITF22-49E9.3	chr22	49933198	49934074	9	chr22	49942438	49942934	16748	True	True	1.1556e-07	1.1556e-07	-1.9841e-01	3.7045e-02	4.3045e-04
1074	Artery_Aorta	ENSG00000184949.15	FAM227A	chr22	38578120	38656629	3	chr22	38644314	38644569	16425	True	True	1.8338e-07	1.8338e-07	2.7401e-01	5.1480e-02	4.3228e-04
1075	Artery_Aorta	ENSG00000228274.3	RP3-508I15.9	chr22	38667663	38681820	3	chr22	38644314	38644569	16425	True	True	1.7646e-07	1.7646e-07	-2.7437e-01	5.1475e-02	4.3228e-04
1076	Artery_Aorta	ENSG00000270127.2	RP11-526I2.5	chr15	100547765	100550153	8	chr15	100554291	100558659	8773	True	True	7.3193e-08	7.3193e-08	2.7866e-01	5.0687e-02	4.4240e-04
1077	Heart_Atrial_Appendage	ENSG00000182362.13	YBEY	chr21	46286337	46297751	9	chr21	46381955	46384987	16180	True	True	7.8089e-08	7.8089e-08	-2.7515e-01	5.0185e-02	4.4679e-04
1078	Pancreas	ENSG00000197888.2	UGT2B17	chr4	68537184	68568527	1	chr4	68596915	68597248	19224	True	True	6.1090e-07	6.1090e-07	2.8098e-01	5.5134e-02	4.5525e-04
1079	Pituitary	ENSG00000271662.1	RP11-141C7.3	chr3	195650146	195651472	5	chr3	195717039	195717263	18365	True	True	7.0443e-08	7.0443e-08	3.4482e-01	6.1894e-02	4.5772e-04
1080	Prostate	ENSG00000236397.3	DDX11L2	chr2	113599036	113601261	6	chr2	113610060	113611275	13631	True	True	4.2125e-08	4.2125e-08	-3.5999e-01	6.3333e-02	4.5878e-04
1081	Cells_Cultured_fibroblasts	ENSG00000258701.1	LINC00638	chr14	104821201	104823718	7	chr14	104826634	104826729	8126	True	True	1.5345e-07	1.5345e-07	-2.3846e-01	4.4748e-02	4.6356e-04
1082	Artery_Tibial	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195717039	195717263	18365	True	True	2.6774e-07	2.6774e-07	2.1274e-01	4.0855e-02	4.6602e-04
1083	Esophagus_Muscularis	ENSG00000159247.13	TUBBP5	chr9	138150075	138177425	4	chr9	138177957	138178100	28104	True	True	2.9218e-07	2.9218e-07	2.3686e-01	4.5497e-02	4.7806e-04
1084	Nerve_Tibial	ENSG00000272977.1	CTA-390C10.10	chr22	25476218	25479971	3	chr22	25456733	25456933	16274	True	True	3.8647e-07	3.8647e-07	2.2162e-01	4.3095e-02	4.8231e-04
1085	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000274627.1	RP11-104N10.2	chr16	89516797	89522217	12	chr16	89429084	89430599	9805	True	True	9.7464e-08	9.7464e-08	-2.3588e-01	4.3590e-02	4.8661e-04
1086	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000100983.9	GSS	chr20	34928430	34955817	3	chr20	34889289	34889543	15159	True	True	3.8354e-07	3.8354e-07	-2.2296e-01	4.3336e-02	4.8661e-04
1087	Prostate	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195694561	195694966	18362	True	True	7.3311e-08	7.3311e-08	3.5469e-01	6.3618e-02	4.9134e-04
1088	Brain_Caudate_basal_ganglia	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195712742	195714439	18364	True	True	5.4238e-08	5.4238e-08	3.8766e-01	6.8328e-02	4.9250e-04
1089	Brain_Caudate_basal_ganglia	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	2.0942e-07	2.0942e-07	3.6768e-01	6.8187e-02	4.9250e-04
1090	Pancreas	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	1.1559e-07	1.1559e-07	3.0066e-01	5.5341e-02	4.9694e-04
1091	Brain_Cerebellar_Hemisphere	ENSG00000026297.15	RNASET2	chr6	166929504	166957184	5	chr6	166997607	166997910	23486	True	True	4.0249e-08	4.0249e-08	-4.0359e-01	7.0173e-02	4.9919e-04
1092	Brain_Cerebellar_Hemisphere	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195717039	195717263	18365	True	True	5.4305e-08	5.4305e-08	4.0001e-01	7.0293e-02	4.9919e-04
1093	Cells_Cultured_fibroblasts	ENSG00000276248.1	RP11-230F18.5	chr13	113527260	113530621	18	chr13	113514426	113514749	7266	True	True	6.6876e-08	6.6876e-08	2.4287e-01	4.4277e-02	5.0740e-04
1094	Nerve_Tibial	ENSG00000273100.1	RP11-302L19.3	chr6	170178681	170179660	23	chr6	170168135	170172507	23663	True	True	5.4081e-08	5.4081e-08	2.3476e-01	4.2546e-02	5.0749e-04
1095	Adipose_Visceral_Omentum	ENSG00000220804.8	LINC01881	chr2	242088633	242160153	7	chr2	242084750	242085434	14876	True	True	1.4306e-07	1.4306e-07	2.4256e-01	4.5381e-02	5.0786e-04
1096	Brain_Substantia_nigra	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	2.6287e-09	2.6287e-09	-5.2379e-01	8.0854e-02	5.2377e-04
1097	Artery_Coronary	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	2.6109e-07	2.6109e-07	3.4873e-01	6.5458e-02	5.2581e-04
1098	Colon_Sigmoid	ENSG00000204176.13	SYT15	chr10	46578217	46594173	1	chr10	46608408	46608545	2719	True	True	6.9550e-07	6.9550e-07	2.7699e-01	5.4662e-02	5.3762e-04
1099	Brain_Amygdala	ENSG00000229178.1	AC069513.4	chr3	195655565	195657927	4	chr3	195694561	195694966	18362	True	True	1.6706e-08	1.6706e-08	4.7673e-01	7.8941e-02	5.3775e-04
1100	Brain_Amygdala	ENSG00000215837.7	SDHAP2	chr3	195658096	195685904	4	chr3	195717039	195717263	18365	True	True	2.0230e-08	2.0230e-08	4.7094e-01	7.8589e-02	5.3775e-04
1101	Nerve_Tibial	ENSG00000138750.14	NUP54	chr4	76114659	76148515	2	chr4	76027456	76027965	19295	True	True	6.7200e-07	6.7200e-07	-2.1465e-01	4.2667e-02	5.3800e-04
1102	Esophagus_Muscularis	ENSG00000179750.15	APOBEC3B	chr22	38982347	38992804	5	chr22	38981117	38981249	16433	True	True	2.7190e-07	2.7190e-07	2.3823e-01	4.5631e-02	5.4474e-04
1103	Cells_Cultured_fibroblasts	ENSG00000124532.14	MRS2	chr6	24402908	24426194	5	chr6	24421469	24421559	22295	True	True	2.6548e-07	2.6548e-07	2.3348e-01	4.4709e-02	5.4680e-04
1104	Liver	ENSG00000251101.1	RP11-1267H10.1	chr4	68615393	68616137	2	chr4	68596915	68597248	19224	True	True	1.7903e-07	1.7903e-07	3.5319e-01	6.5342e-02	5.4700e-04
1105	Nerve_Tibial	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	9.9541e-08	9.9541e-08	2.3300e-01	4.3104e-02	5.4752e-04
1106	Brain_Caudate_basal_ganglia	ENSG00000124116.18	WFDC3	chr20	45747944	45791932	4	chr20	45738844	45739247	15244	True	True	6.7027e-08	6.7027e-08	3.7575e-01	6.6880e-02	5.4777e-04
1107	Brain_Spinal_cord_cervical_c-1	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195717039	195717263	18365	True	True	1.0895e-08	1.0895e-08	4.8732e-01	7.9384e-02	5.5521e-04
1108	Nerve_Tibial	ENSG00000129744.2	ART1	chr11	3645128	3664416	5	chr11	3653751	3654824	3768	True	True	2.9242e-07	2.9242e-07	-2.2302e-01	4.2914e-02	5.6400e-04
1109	Brain_Cortex	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	4.5693e-08	4.5693e-08	3.7389e-01	6.5747e-02	5.6408e-04
1110	Esophagus_Muscularis	ENSG00000171903.16	CYP4F11	chr19	15912367	15934867	12	chr19	15882462	15882698	12031	True	True	1.2002e-07	1.2002e-07	2.4452e-01	4.5458e-02	5.6555e-04
1111	Brain_Frontal_Cortex_BA9	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	1.3854e-08	1.3854e-08	4.2401e-01	7.0936e-02	5.6668e-04
1112	Skin_Sun_Exposed_Lower_leg	ENSG00000225398.3	PGM5P4	chr2	113541937	113563298	4	chr2	113610060	113611275	13631	True	True	3.4821e-07	3.4821e-07	-2.0791e-01	4.0338e-02	5.7818e-04
1113	Brain_Cortex	ENSG00000270127.2	RP11-526I2.5	chr15	100547765	100550153	8	chr15	100554291	100558659	8773	True	True	5.7061e-08	5.7061e-08	3.7138e-01	6.5818e-02	5.8701e-04
1114	Pancreas	ENSG00000272977.1	CTA-390C10.10	chr22	25476218	25479971	3	chr22	25456733	25456933	16274	True	True	2.8869e-07	2.8869e-07	2.9147e-01	5.5506e-02	5.9759e-04
1115	Small_Intestine_Terminal_Ileum	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195712742	195714439	18364	True	True	6.1972e-08	6.1972e-08	3.9843e-01	7.0346e-02	6.0391e-04
1116	Brain_Hippocampus	ENSG00000270127.2	RP11-526I2.5	chr15	100547765	100550153	8	chr15	100554291	100558659	8773	True	True	3.0019e-08	3.0019e-08	4.2208e-01	7.2351e-02	6.0637e-04
1117	Whole_Blood	ENSG00000278970.1	HEIH	chr5	180829954	180831364	5	chr5	180829135	180829352	21965	True	True	4.3972e-07	4.3972e-07	1.9436e-01	3.8096e-02	6.1261e-04
1118	Esophagus_Mucosa	ENSG00000184465.15	WDR27	chr6	169457212	169702048	16	chr6	169765857	169766056	23628	True	True	6.7813e-08	6.7813e-08	2.4035e-01	4.3851e-02	6.2790e-04
1119	Artery_Tibial	ENSG00000160072.19	ATAD3B	chr1	1471769	1496202	6	chr1	1461588	1461786	50	True	True	2.4717e-07	2.4717e-07	2.1280e-01	4.0748e-02	6.3097e-04
1120	Thyroid	ENSG00000274487.1	CH17-431G21.1	chr17	38195740	38257152	1	chr17	38267204	38267364	10259	True	True	2.0054e-06	2.0054e-06	2.0785e-01	4.3229e-02	6.3949e-04
1121	Whole_Blood	ENSG00000039650.11	PNKP	chr19	49859882	49867909	2	chr19	49875292	49875438	12447	True	True	1.1752e-06	1.1752e-06	-1.8700e-01	3.8123e-02	6.4416e-04
1122	Brain_Amygdala	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	1.2955e-07	1.2955e-07	4.5110e-01	8.0472e-02	6.4566e-04
1123	Brain_Cerebellum	ENSG00000188818.12	ZDHHC11	chr5	795606	850986	14	chr5	764827	765401	20384	True	True	3.0965e-08	3.0965e-08	3.8090e-01	6.6044e-02	6.4798e-04
1124	Cells_Cultured_fibroblasts	ENSG00000234618.1	RPSAP9	chr9	76398699	76399586	3	chr9	76443874	76443995	27463	True	True	5.4066e-07	5.4066e-07	2.2635e-01	4.4552e-02	6.5329e-04
1125	Heart_Left_Ventricle	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	8.2675e-07	8.2675e-07	2.5127e-01	5.0117e-02	6.6125e-04
1126	Skin_Sun_Exposed_Lower_leg	ENSG00000075131.9	TIPIN	chr15	66336206	66386746	1	chr15	66420718	66420891	8468	True	True	1.6252e-06	1.6252e-06	-1.9462e-01	4.0178e-02	6.6139e-04
1127	Pituitary	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	9.2063e-08	9.2063e-08	3.4262e-01	6.2082e-02	6.7795e-04
1128	Brain_Hypothalamus	ENSG00000168903.8	BTNL3	chr5	180988845	181006727	10	chr5	180986484	180986608	21968	True	True	1.6584e-08	1.6584e-08	-4.1844e-01	7.0493e-02	6.8820e-04
1129	Brain_Frontal_Cortex_BA9	ENSG00000131591.17	C1orf159	chr1	1081818	1116361	19	chr1	1098986	1099902	29	True	True	1.4257e-08	1.4257e-08	-4.1791e-01	7.0092e-02	6.9250e-04
1130	Adipose_Visceral_Omentum	ENSG00000211974.3	IGHV2-70D	chr14	106723574	106724093	4	chr14	106705656	106706543	8160	True	True	3.5044e-07	3.5044e-07	2.3457e-01	4.5374e-02	6.9353e-04
1131	Adrenal_Gland	ENSG00000197915.5	HRNR	chr1	152212082	152224193	3	chr1	152213243	152221044	1143	True	True	1.6557e-07	1.6557e-07	3.3754e-01	6.2477e-02	6.9626e-04
1132	Adrenal_Gland	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	4.7609e-07	4.7609e-07	-3.2545e-01	6.2759e-02	6.9626e-04
1133	Esophagus_Muscularis	ENSG00000177963.14	RIC8A	chr11	207511	215113	6	chr11	220680	221140	3632	True	True	3.0185e-07	3.0185e-07	2.3786e-01	4.5737e-02	6.9723e-04
1134	Esophagus_Mucosa	ENSG00000273100.1	RP11-302L19.3	chr6	170178681	170179660	23	chr6	170168135	170172507	23663	True	True	5.6141e-08	5.6141e-08	2.4181e-01	4.3835e-02	7.0574e-04
1135	Esophagus_Mucosa	ENSG00000141627.13	DYM	chr18	49041474	49461347	12	chr18	49452827	49453252	11230	True	True	1.0711e-07	1.0711e-07	2.3560e-01	4.3681e-02	7.0574e-04
1136	Skin_Sun_Exposed_Lower_leg	ENSG00000143452.15	HORMAD1	chr1	150698060	150720888	3	chr1	150728466	150729600	1135	True	True	5.9886e-07	5.9886e-07	-2.0210e-01	4.0049e-02	7.1708e-04
1137	Muscle_Skeletal	ENSG00000158691.14	ZSCAN12	chr6	28378955	28399734	3	chr6	28382863	28383028	22324	True	True	5.9661e-07	5.9661e-07	-1.8762e-01	3.7232e-02	7.2355e-04
1138	Brain_Amygdala	ENSG00000224769.1	MUC20P1	chr3	195614947	195620233	5	chr3	195712742	195714439	18364	True	True	3.6532e-08	3.6532e-08	4.6996e-01	7.9915e-02	7.2831e-04
1139	Brain_Anterior_cingulate_cortex_BA24	ENSG00000131591.17	C1orf159	chr1	1081818	1116361	19	chr1	1098986	1099902	29	True	True	7.9622e-09	7.9622e-09	-4.5639e-01	7.4407e-02	7.3470e-04
1140	Brain_Anterior_cingulate_cortex_BA24	ENSG00000283426.1	RP11-141C7.2	chr3	195701618	195711643	4	chr3	195717039	195717263	18365	True	True	4.5475e-08	4.5475e-08	4.3643e-01	7.5505e-02	7.3470e-04
1141	Cells_EBV-transformed_lymphocytes	ENSG00000250566.1	UGT2B29P	chr4	68509441	68517647	2	chr4	68596915	68597248	19224	True	True	1.1852e-07	1.1852e-07	4.2132e-01	7.5576e-02	7.3473e-04
1142	Lung	ENSG00000185619.18	PCGF3	chr4	705748	770640	27	chr4	789886	790121	18492	True	True	6.7800e-08	6.7800e-08	2.3662e-01	4.3193e-02	7.3921e-04
1143	Colon_Sigmoid	ENSG00000228274.3	RP3-508I15.9	chr22	38667663	38681820	3	chr22	38644314	38644569	16425	True	True	3.3449e-07	3.3449e-07	-2.8996e-01	5.5533e-02	7.4696e-04
1144	Adrenal_Gland	ENSG00000214401.4	KANSL1-AS1	chr17	46193576	46196723	1	chr17	46265245	46265480	10319	True	True	5.7926e-07	5.7926e-07	3.2657e-01	6.3436e-02	7.5782e-04
1145	Breast_Mammary_Tissue	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	1.0775e-06	1.0775e-06	-2.4399e-01	4.9233e-02	7.6182e-04
1146	Pancreas	ENSG00000259205.2	PRKXP1	chr15	100553529	100558954	9	chr15	100554291	100558659	8773	True	True	1.2751e-07	1.2751e-07	3.0463e-01	5.6223e-02	7.6353e-04
1147	Thyroid	ENSG00000075131.9	TIPIN	chr15	66336206	66386746	1	chr15	66420718	66420891	8468	True	True	2.4325e-06	2.4325e-06	-1.9646e-01	4.1250e-02	7.6428e-04
1148	Spleen	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	1.3025e-07	1.3025e-07	3.4307e-01	6.2901e-02	7.7544e-04
1149	Skin_Not_Sun_Exposed_Suprapubic	ENSG00000100211.10	CBY1	chr22	38656640	38673854	3	chr22	38644314	38644569	16425	True	True	6.3470e-07	6.3470e-07	-2.2273e-01	4.4131e-02	7.7668e-04
1150	Skin_Sun_Exposed_Lower_leg	ENSG00000128408.8	RIBC2	chr22	45413691	45432496	4	chr22	45327997	45328409	16522	True	True	5.1017e-07	5.1017e-07	2.1126e-01	4.1565e-02	7.8435e-04
1151	Skin_Sun_Exposed_Lower_leg	ENSG00000100983.9	GSS	chr20	34928430	34955817	3	chr20	34889289	34889543	15159	True	True	6.7424e-07	6.7424e-07	-2.0185e-01	4.0186e-02	7.8435e-04
1152	Brain_Cerebellum	ENSG00000184949.15	FAM227A	chr22	38578120	38656629	3	chr22	38644314	38644569	16425	True	True	1.8960e-07	1.8960e-07	3.6000e-01	6.6640e-02	7.9351e-04
1153	Breast_Mammary_Tissue	ENSG00000225398.3	PGM5P4	chr2	113541937	113563298	4	chr2	113610060	113611275	13631	True	True	2.9218e-07	2.9218e-07	-2.5681e-01	4.9192e-02	7.9964e-04
1154	Whole_Blood	ENSG00000133687.15	TMTC1	chr12	29500840	29784759	4	chr12	29693075	29693315	5240	True	True	7.4595e-07	7.4595e-07	1.9009e-01	3.8043e-02	8.0457e-04
1155	Colon_Sigmoid	ENSG00000100211.10	CBY1	chr22	38656640	38673854	3	chr22	38644314	38644569	16425	True	True	3.8066e-07	3.8066e-07	-2.8863e-01	5.5556e-02	8.1970e-04
1156	Nerve_Tibial	ENSG00000250971.1	RP11-696F12.1	chr4	187060099	187060930	7	chr4	186959308	186973476	20213	True	True	3.0983e-07	3.0983e-07	-2.2447e-01	4.3278e-02	8.2168e-04
1157	Brain_Anterior_cingulate_cortex_BA24	ENSG00000189306.10	RRP7A	chr22	42509968	42519802	1	chr22	42546989	42547432	16467	True	True	2.4478e-07	2.4478e-07	4.2248e-01	7.7721e-02	8.2389e-04
1158	Cells_Cultured_fibroblasts	ENSG00000207650.1	MIR570	chr3	195699401	195699497	4	chr3	195717039	195717263	18365	True	True	5.2544e-07	5.2544e-07	2.2870e-01	4.4952e-02	8.2814e-04
1159	Colon_Transverse	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	1.9331e-07	1.9331e-07	2.6946e-01	5.0755e-02	8.3233e-04
1160	Heart_Atrial_Appendage	ENSG00000179750.15	APOBEC3B	chr22	38982347	38992804	5	chr22	38981117	38981249	16433	True	True	2.7583e-07	2.7583e-07	2.6544e-01	5.0673e-02	8.4849e-04
1161	Esophagus_Muscularis	ENSG00000168634.4	WFDC13	chr20	45702016	45708817	4	chr20	45738844	45739247	15244	True	True	5.6199e-07	5.6199e-07	-2.3029e-01	4.5372e-02	8.4878e-04
1162	Esophagus_Muscularis	ENSG00000261575.2	RP11-259G18.1	chr17	46267037	46268694	1	chr17	46265245	46265480	10319	True	True	2.2955e-06	2.2955e-06	2.2087e-01	4.6130e-02	8.5037e-04
1163	Esophagus_Gastroesophageal_Junction	ENSG00000207650.1	MIR570	chr3	195699401	195699497	4	chr3	195717039	195717263	18365	True	True	2.6772e-07	2.6772e-07	2.8197e-01	5.3633e-02	8.5046e-04
1164	Esophagus_Gastroesophageal_Junction	ENSG00000262500.1	MAPK8IP1P1	chr17	46243606	46245044	1	chr17	46265245	46265480	10319	True	True	1.0367e-06	1.0367e-06	2.6865e-01	5.3931e-02	8.5046e-04
1165	Heart_Atrial_Appendage	ENSG00000168528.11	SERINC2	chr1	31409565	31434680	3	chr1	31431747	31432230	461	True	True	4.7637e-07	4.7637e-07	-2.5958e-01	5.0618e-02	8.5174e-04
1166	Artery_Aorta	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	1.1741e-06	1.1741e-06	-2.4659e-01	4.9912e-02	8.5420e-04
1167	Cells_Cultured_fibroblasts	ENSG00000140471.16	LINS1	chr15	100564692	100603214	10	chr15	100554291	100558659	8773	True	True	2.2282e-07	2.2282e-07	-2.4147e-01	4.5899e-02	8.5928e-04
1168	Adipose_Visceral_Omentum	ENSG00000101457.12	DNTTIP1	chr20	45791937	45811427	4	chr20	45738844	45739247	15244	True	True	4.4743e-07	4.4743e-07	2.3127e-01	4.5165e-02	8.6440e-04
1169	Esophagus_Gastroesophageal_Junction	ENSG00000238286.1	SLC35E1P1	chr13	20607268	20608131	1	chr13	20550539	20550640	6323	True	True	1.1404e-06	1.1404e-06	-2.6565e-01	5.3559e-02	8.7086e-04
1170	Nerve_Tibial	ENSG00000258701.1	LINC00638	chr14	104821201	104823718	7	chr14	104826634	104826729	8126	True	True	3.3852e-07	3.3852e-07	-2.2122e-01	4.2808e-02	8.8200e-04
1171	Testis	ENSG00000179750.15	APOBEC3B	chr22	38982347	38992804	5	chr22	38981117	38981249	16433	True	True	3.4184e-07	3.4184e-07	2.8124e-01	5.3984e-02	8.9092e-04
1172	Whole_Blood	ENSG00000206077.10	ZDHHC11B	chr5	710360	766952	19	chr5	753998	754615	20383	True	True	1.7687e-07	1.7687e-07	2.0308e-01	3.8465e-02	8.9179e-04
1173	Esophagus_Muscularis	ENSG00000100058.12	CRYBB2P1	chr22	25448105	25520854	4	chr22	25506901	25507412	16275	True	True	6.3169e-07	6.3169e-07	2.3025e-01	4.5571e-02	9.0200e-04
1174	Esophagus_Muscularis	ENSG00000124532.14	MRS2	chr6	24402908	24426194	5	chr6	24421469	24421559	22295	True	True	5.0072e-07	5.0072e-07	2.3252e-01	4.5596e-02	9.0200e-04
1175	Whole_Blood	ENSG00000259959.1	RP11-121C2.2	chr4	47840122	47844339	5	chr4	47923108	47923471	19070	True	True	6.9331e-07	6.9331e-07	-1.9205e-01	3.8317e-02	9.0553e-04
1176	Artery_Tibial	ENSG00000272864.1	RP11-17E13.2	chr1	74698769	74699333	4	chr1	74758376	74758723	774	True	True	5.4841e-07	5.4841e-07	2.0705e-01	4.0870e-02	9.1302e-04
1177	Artery_Aorta	ENSG00000196151.10	WDSUB1	chr2	159235793	159286799	1	chr2	159237781	159237871	14024	True	True	1.3027e-06	1.3027e-06	2.4432e-01	4.9679e-02	9.1390e-04
1178	Stomach	ENSG00000120071.13	KANSL1	chr17	46029916	46225389	1	chr17	46265245	46265480	10319	True	True	1.0611e-06	1.0611e-06	2.7129e-01	5.4491e-02	9.1497e-04
1179	Stomach	ENSG00000184967.6	NOC4L	chr12	132144448	132152441	12	chr12	132148889	132150763	6237	True	True	9.1241e-08	9.1241e-08	-3.0397e-01	5.5467e-02	9.1497e-04
1180	Stomach	ENSG00000146556.14	WASH2P	chr2	113588550	113599034	6	chr2	113610060	113611275	13631	True	True	1.8325e-07	1.8325e-07	2.8611e-01	5.3649e-02	9.1497e-04
1181	Skin_Sun_Exposed_Lower_leg	ENSG00000274422.1	LL22NC03-2H8.5	chr22	22283928	22287220	2	chr22	22297963	22298171	16253	True	True	1.2354e-06	1.2354e-06	-1.9827e-01	4.0455e-02	9.1573e-04
1182	Skin_Sun_Exposed_Lower_leg	ENSG00000207650.1	MIR570	chr3	195699401	195699497	4	chr3	195712742	195714439	18364	True	True	6.1059e-07	6.1059e-07	2.0482e-01	4.0607e-02	9.1573e-04
1183	Colon_Sigmoid	ENSG00000115364.13	MRPL19	chr2	75646783	75690851	5	chr2	75712061	75712382	13351	True	True	2.6684e-07	2.6684e-07	2.8589e-01	5.4338e-02	9.2464e-04
1184	Esophagus_Muscularis	ENSG00000184949.15	FAM227A	chr22	38578120	38656629	3	chr22	38644314	38644569	16425	True	True	9.0924e-07	9.0924e-07	2.3661e-01	4.7466e-02	9.3958e-04
1185	Esophagus_Muscularis	ENSG00000241945.7	PWP2	chr21	44107290	44131181	10	chr21	44163310	44163456	16055	True	True	2.7149e-07	2.7149e-07	2.3748e-01	4.5490e-02	9.3958e-04
1186	Artery_Aorta	ENSG00000262539.1	RP11-259G18.3	chr17	46259551	46260606	1	chr17	46265245	46265480	10319	True	True	1.3935e-06	1.3935e-06	2.4683e-01	5.0311e-02	9.4390e-04
1187	Nerve_Tibial	ENSG00000187987.9	ZSCAN23	chr6	28431930	28443502	3	chr6	28382863	28383028	22324	True	True	8.6513e-07	8.6513e-07	-2.1238e-01	4.2648e-02	9.4937e-04
1188	Lung	ENSG00000063046.17	EIF4B	chr12	53006158	53042209	2	chr12	53030030	53030368	5390	True	True	1.2015e-06	1.2015e-06	2.1619e-01	4.3973e-02	9.5243e-04
